ORDERNUMBER,ORDERDATE,STATUS,PRODUCTLINE,QUANTITYORDERED,PRICEEACH,SALES,CUSTOMERNAME,CITY,COUNTRY,DEALSIZE,STATE,TERRITORY,YEAR,MONTH,REVENUE
10107,2003-02-24,Shipped,Motorcycles,30,95.7,2871.0,Land of Toys Inc.,NYC,USA,Small,NY,Unknown,2003,2,2871.0
10121,2003-05-07,Shipped,Motorcycles,34,81.35,2765.9,Reims Collectables,Reims,FRANCE,Small,Unknown,EMEA,2003,5,2765.8999999999996
10134,2003-07-01,Shipped,Motorcycles,41,94.74,3884.34,Lyon Souveniers,Paris,FRANCE,Medium,Unknown,EMEA,2003,7,3884.3399999999997
10145,2003-08-25,Shipped,Motorcycles,45,83.26,3746.7,Toys4GrownUps.com,Pasadena,USA,Medium,CA,Unknown,2003,8,3746.7000000000003
10159,2003-10-10,Shipped,Motorcycles,49,100.0,5205.27,Corporate Gift Ideas Co.,San Francisco,USA,Medium,CA,Unknown,2003,10,4900.0
10168,2003-10-28,Shipped,Motorcycles,36,96.66,3479.76,Technics Stores Inc.,Burlingame,USA,Medium,CA,Unknown,2003,10,3479.7599999999998
10180,2003-11-11,Shipped,Motorcycles,29,86.13,2497.77,Daedalus Designs Imports,Lille,FRANCE,Small,Unknown,EMEA,2003,11,2497.77
10188,2003-11-18,Shipped,Motorcycles,48,100.0,5512.32,Herkku Gifts,Bergen,NORWAY,Medium,Unknown,EMEA,2003,11,4800.0
10201,2003-12-01,Shipped,Motorcycles,22,98.57,2168.54,Mini Wheels Co.,San Francisco,USA,Small,CA,Unknown,2003,12,2168.54
10211,2004-01-15,Shipped,Motorcycles,41,100.0,4708.44,Auto Canal Petit,Paris,FRANCE,Medium,Unknown,EMEA,2004,1,4100.0
10223,2004-02-20,Shipped,Motorcycles,37,100.0,3965.66,"Australian Collectors, Co.",Melbourne,AUSTRALIA,Medium,Victoria,APAC,2004,2,3700.0
10237,2004-04-05,Shipped,Motorcycles,23,100.0,2333.12,Vitachrome Inc.,NYC,USA,Small,NY,Unknown,2004,4,2300.0
10251,2004-05-18,Shipped,Motorcycles,28,100.0,3188.64,Tekni Collectables Inc.,Newark,USA,Medium,NJ,Unknown,2004,5,2800.0
10263,2004-06-28,Shipped,Motorcycles,34,100.0,3676.76,Gift Depot Inc.,Bridgewater,USA,Medium,CT,Unknown,2004,6,3400.0
10275,2004-07-23,Shipped,Motorcycles,45,92.83,4177.35,La Rochelle Gifts,Nantes,FRANCE,Medium,Unknown,EMEA,2004,7,4177.35
10285,2004-08-27,Shipped,Motorcycles,36,100.0,4099.68,Marta's Replicas Co.,Cambridge,USA,Medium,MA,Unknown,2004,8,3600.0
10299,2004-09-30,Shipped,Motorcycles,23,100.0,2597.39,"Toys of Finland, Co.",Helsinki,FINLAND,Small,Unknown,EMEA,2004,9,2300.0
10309,2004-10-15,Shipped,Motorcycles,41,100.0,4394.38,Baane Mini Imports,Stavern,NORWAY,Medium,Unknown,EMEA,2004,10,4100.0
10318,2004-11-02,Shipped,Motorcycles,46,94.74,4358.04,Diecast Classics Inc.,Allentown,USA,Medium,PA,Unknown,2004,11,4358.04
10329,2004-11-15,Shipped,Motorcycles,42,100.0,4396.14,Land of Toys Inc.,NYC,USA,Medium,NY,Unknown,2004,11,4200.0
